name,book_id
Maurice Hindle,18490
Stephen King,11588
Stephenie Meyer,1656001
John Green,99561
Helen Fielding,227443
Jane Austen,14935
Tony Tanner,14935
Ros Ballaster,14935
Louis Sachar,38709
Louis Sachar,38709
Lauren Weisberger,5139
Homer,1381
Robert Fagles,1381
E.V. Rieu,1381
Frédéric Mugler,1381
Bernard Knox,1381
Antoine de Saint-Exupéry,157993
Richard Howard,157993
Dom Marcos Barbosa,157993
Melina Karakosta,157993
Jeannette Walls,7445
Jon Krakauer,1845
Charles Dickens,1953
Richard Maxwell,1953
Hablot Knight Browne,1953
Michael Crichton,7677
Shel Silverstein,370493
John Grisham,32542
Elie Wiesel,1617
Marion Wiesel,1617
John Green,6442769
William Goldman,21787
S.E. Hinton,231804
James Dashner,6186357
Steven D. Levitt,1202
Stephen J. Dubner,1202
Frances Hodgson Burnett,2998
Gabriel García Márquez,320
Gregory Rabassa,320
Oscar Wilde,5297
Jeffrey Eugenides,5297
E.L. James,13536860
Bram Stoker,17245
Nina Auerbach,17245
David J. Skal,17245
Stieg Larsson,5060378
Reg Keeland,5060378
E.L. James,11857408
Barbara Kingsolver,7244
David Sedaris,4137
Maurice Sendak,19543
Alexandre Dumas,7126
Robin Buss,7126
Cormac McCarthy,6288
Veronica Roth,18710190
Tina Fey,9418327
Nicholas Sparks,3473
Sophie Kinsella,9416
Victor Hugo,24280
Lee Fahnestock,24280
Norman MacAfee,24280
George R.R. Martin,10572
Kim Edwards,10441
Jojo Moyes,15507958
Joseph Heller,168668
Mitch Albom,6900
Saulius Dagys,6900
Jeffrey Eugenides,2187
Mark Twain,24583
Guy Cardwell,24583
John Seelye,24583
Madeleine L'Engle,18131
Amy Tan,7763
Margaret Atwood,38447
Ann Brashares,452306
Vladimir Nabokov,7604
Craig Raine,7604
Gregory Maguire,37442
Douglas Smith,37442
John Grisham,5358
Emma Donoghue,7937843
William Shakespeare,1420
Richard Andrews,1420
Rex Gibson,1420
Frank Herbert,234225
Malcolm Gladwell,2612
Walter Isaacson,11084145
Ken Kesey,332613
Ernest Hemingway,2165
John Steinbeck,4395
Mitch Albom,3431
L.M. Montgomery,8127
Cassandra Clare,3777732
George R.R. Martin,62291
Rebecca Wells,137791
Diana Gabaldon,10964
Nathaniel Hawthorne,12296
Thomas E. Connolly,12296
Nina Baym,12296
Ransom Riggs,9460487
Stieg Larsson,6892870
Reg Keeland,6892870
Andy Weir,18007564
Ken Follett,5043
Anthony Doerr,18143977
Laura Hillenbrand,8664353
Dan Brown,976
Donna Tartt,17333223
Jay Asher,1217100
Tracy Chevalier,2865
Gayle Forman,4374400
Anita Diamant,4989
Rick Riordan,28186
Nicholas Sparks,5526
Cassandra Clare,1582996
William Shakespeare,8852
J.R.R. Tolkien,15241
Emily Giffin,42156
Dr. Seuss,23772
לאה נאור,23772
Roald Dahl,6310
Quentin Blake,6310
Rick Riordan,2120932
Charles Dickens,2623
J.R.R. Tolkien,18512
Albert Camus,49552
Matthew    Ward,49552
Rick Riordan,7736182
Rainbow Rowell,15745753
George R.R. Martin,13497
Ally Condie,7735333
Neil Gaiman,4407
Stephen King,149267
Bernie Wrightson,149267
Nicholas Sparks,6400090
Dan Brown,11125
Jane Austen,6969
Fiona Stafford,6969
Leo Tolstoy,15823480
Louise Maude,15823480
Leo Tolstoj,15823480
Aylmer Maude,15823480
Anthony Burgess,227463
William Paul Young,1812457
Rick Riordan,4502507
Stephen King,18342
Fyodor Dostoyevsky,7144
David McDuff,7144
Sylvia Plath,6514
Frank McCourt,252577
Hermann Hesse,52036
Hilda Rosner,52036
Truman Capote,168642
Kami Garcia,6304335
Margaret Stohl,6304335
Cassandra Clare,7171637
Roald Dahl,39988
Quentin Blake,39988
Erin Morgenstern,9361589
Philippa Gregory,37470
Scott Westerfeld,24770
George R.R. Martin,10664113
J.R.R. Tolkien,33
Cheryl Strayed,12262741
Alan Moore,472331
Dave Gibbons,472331
John Higgins,472331
Patrick Rothfuss,186074
Malcolm Gladwell,3228917
Herman Melville,153747
Andrew Delbanco,153747
Tom Quirk,153747
Mary Ann Shaffer,2728527
Annie Barrows,2728527
Chuck Palahniuk,5759
Charlaine Harris,301082
Alice Walker,11486
John Grogan,12691
Agatha Christie,16299
Dan Brown,6411961
Becca Fitzpatrick,6339664
Jamie McGuire,11505797
Charles Dickens,5326
Anne Rice,43763
Kiera Cass,10507293
Janet Evanovich,6853
Rebecca Skloot,6493208
Thomas Harris,23807
Richelle Mead,345627
Malcolm Gladwell,40102
Ian McEwan,6867
Franz Kafka,485894
Stanley Corngold,485894
Rick Riordan,561456
Ernest Cline,9969571
Garth Stein,3153910
Erik Larson,21996
Tony Goldwyn,21996
Sylvia Day,13572249
C.S. Lewis,11127
Pauline Baynes,11127
Mark Cotta Vaz,3609760
Dave Pelzer,60748
Robert Ludlum,7869
Eoin Colfer,249747
Lauren Kate,6487308
John Steinbeck,4406
Gillian Flynn,5886881
John Grisham,5359
Emma McLaughlin,228333
Nicola Kraus,228333
Lewis Carroll,24213
John Tenniel,24213
Martin Gardner,24213
Jane Austen,2156
James Kinsley,2156
Deidre Shauna Lynch,2156
Tatiana de Rosnay,556602
Stephen King,43615
Gabriel García Márquez,9712
Edith Grossman,9712
Laurie Halse Anderson,439288
Liane Moriarty,17802724
Jon Krakauer,1898
Stephen King,10592
Augusten Burroughs,242006
Max Brooks,8908
Dan Brown,17212231
Lois Lowry,47281
James Patterson,13145
Stephen King,10614
Gillian Flynn,66559
Katherine Paterson,2839
P.C. Cast,30183
Kristin Cast,30183
Stephen R. Covey,36072
William Shakespeare,1622
Barbara A. Mowat,1622
Paul Werstine,1622
Catherine Belsey,1622
Jonathan Safran Foer,4588
R.J. Palacio,11387515
Dr. Seuss,233093
Marissa Meyer,11235712
Robert Galbraith,16160797
J.K. Rowling,16160797
Maggie Stiefvater,6068551
Ayn Rand,662
Leonard Peikoff,662
Greg Mortenson,49436
David Oliver Relin,49436
Jane Carruth,13023
Lewis Carroll,13023
Rene Cloke,13023
Carlos Ruiz Zafón,1232
Lucia Graves,1232
James Dashner,7631105
Dale Carnegie,4865
Frances Mayes,480479
Liane Moriarty,19486412
Gail Carson Levine,24337
Ernest Hemingway,3876
Betty  Smith,14891
James Patterson,13148
Kristin Hannah,21853621
Kazuo Ishiguro,6334
Cecelia Ahern,366522
Daphne du Maurier,12873
Sally Beauman,12873
Daniel Keyes,18373
Laura Esquivel,6952
Thomas  Christensen,6952
Carol Christensen,6952
Lisa See,1103
Mario Puzo,22034
Robert Thompson,22034
Peter Bart,22034
John Green,49750
Isaac Asimov,29579
Neil Gaiman,15783514
Shel Silverstein,30118
John Tiffany,29056083
Jack Thorne,29056083
J.K. Rowling,29056083
Lauren Oliver,11614718
John Grisham,32499
Neil Gaiman,17061
Terry Pratchett,12067
Neil Gaiman,12067
Jack Kerouac,70401
Graeme Simsion,16181775
Nicholas Sparks,3063499
Ayn Rand,2122
Leonard Peikoff,2122
Tom Clancy,19691
Richard Adams,76620
Mindy Kaling,10335308
Abraham Verghese,3591262
C.S. Lewis,140225
Pauline Baynes,140225
Robert Louis Stevenson,295
Rick Riordan,9520360
Stephen King,10644930
Eric Carle,4948
Kurt Vonnegut Jr.,135479
H.G. Wells,2493
Greg Bear,2493
Carlo Pagetti,2493
Todd Burpo,7933292
Lynn Vincent,7933292
John Boyne,39999
Joseph Conrad,4900
Nicholas Sparks,7812659
Rhonda Byrne,52529
Wally Lamb,227711
Stephen King,10583
Wally Lamb,5203
Patrick Rothfuss,1215032
Sophie Kinsella,33724
Cassandra Clare,6752378
Jennifer Weiner,14748
Colleen McCullough,3412
Neil Gaiman,2213661
Dave McKean,2213661
M.L. Stedman,13158800
Cornelia Funke,28194
Anthea Bell,28194
Spencer Johnson,4894
Kenneth H. Blanchard,4894
Bill Bryson,9791
Maya Angelou,13214
Christina Baker Kline,15818107
Cassandra Clare,8755776
Maria Semple,13526165
Wilson Rawls,10365
Neil Gaiman,14497
Milan Kundera,9717
Michael Henry Heim,9717
Rainbow Rowell,16068905
John Irving,4473
Janet Fitch,32234
Marie Lu,9275658
Jodi Picoult,14866
Randy Pausch,2318271
Jeffrey Zaslow,2318271
Robert Jordan,228665
Jodi Picoult,10916
C.S. Lewis,65605
Lisa Genova,2153405
Sylvia Day,13596809
Roald Dahl,6689
Quentin Blake,6689
James Patterson,13137
Douglas Adams,13
David Nicholls,6280118
Margaret Wise Brown,32929
Clement Hurd,32929
Pittacus Lore,7747374
Homer,1371
Robert Fagles,1371
Frédéric Mugler,1371
Bernard Knox,1371
J.K. Rowling,13497818
John Grisham,24192
David Sedaris,4138
Christopher Paolini,45978
L. Frank Baum,236093
W.W. Denslow,236093
C.S. Lewis,121749
E. Lockhart,16143347
Stephen King,11590
Hunter S. Thompson,7745
Ralph Steadman,7745
Cassandra Clare,10025305
Amy Poehler,20910157
William Shakespeare,12996
Toni Morrison,6149
Kristin Cashore,3236307
Lemony Snicket,78411
Brett Helquist,78411
Erich Maria Remarque,355697
A.W. Wheen,355697
Dr. Seuss,191139
Khaled Hosseini,16115612
Philip K. Dick,7082
Roger Zelazny,7082
Charles Dickens,18254
George Cruikshank,18254
Philip Horne,18254
C.S. Lewis,11149
Stephanie Perkins,6936382
Dr. Seuss,113946
Alan Moore,5805
David   Lloyd,5805
David McCullough,2203
Dean Koontz,14995
Philip Pullman,119324
Jerry Spinelli,22232
Rick Riordan,7090447
Robert A. Heinlein,350
David Sedaris,10176
Roald Dahl,6319
Quentin Blake,6319
Bill Bryson,21
Jack London,1852
James Dashner,7864437
Neil Gaiman,16793
Jhumpa Lahiri,33917
Deborah Harkness,8667848
Haruki Murakami,11297
Jay Rubin,11297
Billie Letts,5168
John Green,6567017
David Levithan,6567017
James Frey,1241
Richelle Mead,2282133
Susan Cain,8520610
Scott O'Dell,233818
Arthur Miller,17250
Christopher Bigsby,17250
Gary Paulsen,50
Brandon Sanderson,68428
Robert Louis Stevenson,51496
Vladimir Nabokov,51496
Mervyn Peake,51496
Dan Chaon,51496
Dr. Seuss,7784
Jeff Kinney,389627
Sarah J. Maas,7896527
Richelle Mead,2802316
Ernest Hemingway,46170
Jamie Ford,3367956
Patrick Süskind,343
John E. Woods,343
Eric Schlosser,1097
J.K. Rowling,3950967
William Gibson,22328
Ernest Hemingway,10799
Edgar Allan Poe,391729
Sun Tzu,10534
Thomas Cleary,10534
William Landay,11367726
Kurt Vonnegut Jr.,4980
Betty Edwards,627206
Ann Patchett,5826
Jared Diamond,1842
Fannie Flagg,9375
Chinua Achebe,37781
Sophie Kinsella,33722
Gary Chapman,567795
Alexandre Dumas,7190
Chris Cleave,6948436
Alyson Noel,3975774
Roald Dahl,6327
Quentin Blake,6327
Diane Setterfield,40440
Richelle Mead,6479259
Richelle Mead,5996153
Nicholas Sparks,3478
Paula McLain,8683812
J.K. Rowling,862041
Kiera Cass,16248068
Umberto Eco,119073
William Weaver,119073
Seán Barrett,119073
Beatrice Sparks,46799
Anonymous,46799
John Kennedy Toole,310612
Walker Percy,310612
Oscar Wilde,92303
Rick Riordan,12127750
Terry Pratchett,34497
Haruki Murakami,4929
Philip Gabriel,4929
Thomas Harris,28877
Isaac Asimov,41804
J.R. Ward,42899
Becca Fitzpatrick,7791997
Lauren Oliver,6482837
Arundhati Roy,9777
Sue Monk Kidd,18079776
Liane Moriarty,6469165
Stephen Hawking,3869
Cao Chi,3869
Phạm Văn Thiều,3869
Ken Follett,7315573
Stephen King,6320534
Neal Stephenson,830
Sarah Dessen,51738
A.A. Milne,99107
Ernest H. Shepard,99107
S.J. Watson,9736930
Arthur Conan Doyle,102868
Christopher Paolini,2248573
Rick Warren,56495
P.C. Cast,676924
Kristin Cast,676924
Jim Butcher,47212
Jane Austen,50398
Alfred MacAdam,50398
Rick Yancey,16101128
Charles Frazier,10920
Laura Joffe Numeroff,767680
Felicia Bond,767680
Emily Giffin,42155
Tennessee Williams,12220
Elizabeth Kostova,10692
Emily St. John Mandel,20170404
Fredrik Backman,18774964
Henning Koch,18774964
Cassandra Clare,18335634
Pearl S. Buck,1078
John Berger,2784
Diana Gabaldon,5364
Anonymous,1923820
Jennifer Weiner,14758
Chuck Dixon,659469
J.R.R. Tolkien,659469
David Wenzel,659469
Sean Deming,659469
Junot Díaz,297673
Zora Neale Hurston,37415
Newt Scamander,41899
J.K. Rowling,41899
Albus Dumbledore,41899
Malala Yousafzai,17851885
Christina Lamb,17851885
Jane Austen,45032
Kathryn Sutherland,45032
Tony Tanner,45032
Claire Lamont,45032
Viktor E. Frankl,4069
Tana French,237209
Richard Dawkins,14743
Gayle Forman,8492825
John Irving,7069
Lee Child,78129
Daniel Defoe,2932
Gerald McCann,2932
Virginia Woolf,2932
Niccolò Machiavelli,28862
Adolph Caso,28862
Rufus Goodwin,28862
Benjamin Martinez,28862
Philip Pullman,18122
Terry Goodkind,43889
Kathleen Grissom,6837103
J.D. Salinger,5113
Chuck Palahniuk,29059
Fyodor Dostoyevsky,4934
Richard Pevear,4934
Larissa Volokhonsky,4934
Jeanne DuPrau,307791
Michael Crichton,7670
Stephen King,11566
Kahlil Gibran,2547
Art Spiegelman,15196
P.C. Cast,2866718
Kristin Cast,2866718
Orson Scott Card,7967
C.S. Lewis,11138
Donna Tartt,29044
Dave Eggers,4953
Jean M. Auel,1295
Anna Sewell,3685
Leo Tolstoy,656
Henry Gifford,656
Aylmer Maude,656
Louise Maude,656
Bret Easton Ellis,28676
Meg Cabot,38980
Alexander McCall Smith,7061
Robert Kirkman,138398
Tony Moore,138398
Arthur C. Clarke,70535
Francine Rivers,11422
Tim LaHaye,27523
Jerry B. Jenkins,27523
Kiera Cass,18635016
Suzanne Collins,7938275
Barbara Ehrenreich,1869
Sophie Kinsella,1358844
Robert Jordan,233649
Patricia Cornwell,6534
Edgar Allan Poe,23919
Corrie ten Boom,561909
John Sherrill,561909
Elizabeth Sherrill,561909
Arthur Conan Doyle,3590
Pat Conroy,16735
Michael Chabon,3985
Simone Elkeles,4268157
J.M. Barrie,34268
Michael Hague,34268
Scott Westerfeld,24768
Haruki Murakami,11275
Jay Rubin,11275
Michael Connelly,79885
David Mitchell,49628
Tim O'Brien,133518
Banksy,114683
Lauren Oliver,9593911
Jeff Lindsay,17231
Charlaine Harris,110494
Robert Jordan,34897
Jonathan Swift,7733
Robert DeMaria Jr.,7733
William Shakespeare,12957
Barbara A. Mowat,12957
Paul Werstine,12957
Gail Kern Paster,12957
Robert          Jackson,12957
Unknown,52357
Seamus Heaney,52357
Frank Miller,59980
David Mazzucchelli,59980
Richmond Lewis,59980
Dennis O'Neil,59980
Harper Lee,24817626
David Sedaris,1044355
Laini Taylor,8490112
Victoria Aveyard,17878931
Charles Duhigg,12609433
John Berendt,386187
Colleen Hoover,15717943
Frances Hodgson Burnett,3008
Nancy Bond,3008
Sarah Dessen,51737
C.S. Lewis,84119
Richelle Mead,6527740
Laura Ingalls Wilder,77767
Garth Williams,77767
Margery Williams Bianco,144974
William   Nicholson,144974
Robert M. Pirsig,629
H.G. Wells,8909
Arthur C. Clarke,8909
Sara Shepard,162085
Don Freeman,231850
Michael Pollan,3109
Kate Atkinson,15790842
Nicholas Sparks,3462
Stephen King,107291
Diana Gabaldon,10987
Kenneth Branagh,117251
William Shakespeare,117251
Stephen King,10603
Jeffrey Eugenides,10956
Charlaine Harris,140077
Thomas Hardy,32261
Tim Dolin,32261
Margaret R. Higonnet,32261
Gustave Flaubert,2175
Margaret Mauldon,2175
Malcolm Bowie,2175
Mark Overstall,2175
Norton Juster,378
Jules Feiffer,378
Brandon Sanderson,7235533
Charlaine Harris,140082
Ned Vizzini,248704
Brandon Sanderson,68429
Jojo Moyes,25041504
Vanessa Diffenbaugh,10032672
Frank Miller,59960
Klaus Janson,59960
Lynn Varley,59960
James Patterson,13152
Nick Hornby,285092
Nicholas Sparks,15925
Margaret Atwood,46756
John Gray,1274
Anthony Bourdain,33313
Michael Crichton,7669
Voltaire,19380
Natalie Babbitt,84981
Stephen King,10629
Marie Milpois,10629
P.D. Eastman,197084
E.H. Gombrich,222078
Marissa Meyer,13206760
Robert T. Kiyosaki,69571
Becca Fitzpatrick,10637766
Lev Grossman,6101718
Tsugumi Ohba,13615
Takeshi Obata,13615
Libba Bray,3682
Jonathan Safran Foer,256566
Robert Ludlum,15769
Tammara Webber,16056408
Charles Dickens,58696
Jeremy Tambling,58696
Sherman Alexie,693208
Ellen Forney,693208
Mikhail Bulgakov,117833
Katherine Tiernan O'Connor,117833
Diana Burgin,117833
Ellendea Proffer,117833
Ursula K. Le Guin,13642
Kate DiCamillo,357664
Chris Sheban,357664
John Knowles,5148
John Grisham,5349
Miguel de Cervantes Saavedra,3836
Roberto González Echevarría,3836
John Rutherford,3836
Robin Hobb,45107
Douglas Adams,8695
Lauren Kate,7740152
Beatrix Potter,19321
C.S. Lewis,65641
Pauline Baynes,65641
Brandon Sanderson,2767793
Susanna Kaysen,68783
Chelsea Handler,40173
Richard Bach,71728
Russell Munson,71728
Cassandra Clare,8755785
Robert Munsch,310259
Sheila McGraw,310259
Stephen King,10567
Daniel James Brown,16158542
J.R.R. Tolkien,7332
Christopher Tolkien,7332
Ted Nasmith,7332
Stephen King,5094
Kate Morton,3407877
Franz Kafka,17690
Edwin Muir,17690
Willa Muir,17690
Max Brod,17690
Sarah Dessen,22205
Jodi Picoult,14864
Piper Kerman,6314763
Arthur Conan Doyle,8921
Anne Perry,8921
Daniel Kahneman,11468377
Marion Zimmer Bradley,402045
Judy Blume,37732
Nicholas Sparks,15926
Stephen King,18775247
Charlaine Harris,140075
Chris Bohjalian,5166
Chris Van Allsburg,420282
Jon Scieszka,125507
Lane Smith,125507
Tom Clancy,32682
Paulo Coelho,1431
Margaret Jull Costa,1431
Sheryl Sandberg,16071764
Nell Scovell,16071764
Charlaine Harris,170210
Tahereh Mafi,10429045
Robert A. Heinlein,17214
Sophie Kinsella,12033455
Jostein Gaarder,10959
Paulette Møller,10959
Mark Cotta Vaz,11260526
Ray Bradbury,76778
Jennifer Egan,7331435
Johanna Spyri,93
Angelo  Rinaldi,93
Beverly Cleary,93
Michael Crichton,83763
C.S. Lewis,84369
Ken Follett,5064
P.C. Cast,1326258
Kristin Cast,1326258
Colleen Hoover,13372690
Alex Flinn,544891
Geoffrey Chaucer,2696
Nevill Coghill,2696
Emily Giffin,42149
Christopher Paolini,7664041
Haruki Murakami,10357575
Jay Rubin,10357575
Philip Gabriel,10357575
Harriet Beecher Stowe,46787
Gaston Leroux,480204
Alexander Teixeira de Mattos,480204
Charlaine Harris,140079
José Saramago,2526
Giovanni Pontiero,2526
Jonathan Franzen,7905092
Ally Condie,15812814
Ally Carter,852470
Aravind Adiga,1768603
Jonathan Franzen,3805
Barack Obama,88061
Michael Crichton,7672
Judith Viorst,46677
Ray Cruz,46677
Jhumpa Lahiri,5439
Howard Zinn,2767
Truman Capote,251688
Justin Cronin,6690798
Neil Gaiman,2744
Sarah Dessen,5664985
Celeste Ng,18693763
Isabel Allende,9328
Magda Bogin,9328
Stephen King,11573
Agatha Christie,16343
Ροζίτα Σώκου,16343
Agatha Christie,16304
Chimamanda Ngozi Adichie,15796700
James Patterson,7494
Stephen King,233667
Sylvia Day,15731779
Christopher McDougall,6289283
Gabrielle Zevin,18293427
Ludwig Bemelmans,475339
Napoleon Hill,1005
Laura Ingalls Wilder,8337
Garth Williams,8337
Susanna Clarke,14201
Nicholas Sparks,3463
Rick Riordan,12127810
Michael  Grant,2536134
Nicholas Sparks,3466
David McCullough,1067
Jon Krakauer,10847
Jess Walter,11447921
Barack Obama,9742
Stephen King,10569
Kristin Hannah,1472878
Michael Crichton,455373
Emily Giffin,2120652
Robert Galbraith,18214414
J.K. Rowling,18214414
Anne Rice,43814
Ann Patchett,9118135
Matthew Quick,13539044
Jules Verne,33507
Anthony Bonner,33507
Philippa Gregory,16181
Virginia Woolf,14942
Maureen Howard,14942
Jonas Jonasson,13486632
Rod Bradbury,13486632
Stephen King,10589
John Irving,4687
Richard Bachman,10605
Stephen King,10605
Jules Verne,54479
Michael Glencross,54479
Brian W. Aldiss,54479
Sharon Creech,53496
Paulo Coelho,1430
Margaret Jull Costa,1430
J.D. Salinger,4009
Julie Powell,13747
Neal Shusterman,764347
Diana Gabaldon,10988
Marie Lu,13414446
William Shakespeare,12938
Arthur Miller,12898
Nicholas Sparks,531350
Kate Egan,11742691
William Faulkner,10975
Eckhart Tolle,76334
Tite Kubo,2880
Allie Brosh,17571564
Robert Jordan,9539
Gregory David Roberts,33600
Charlaine Harris,2233407
Stephen King,34084
Ned Dameron,34084
Jeffery Deaver,2373
Bernhard Schlink,101299
Carol Brown Janeway,101299
Bill Martin Jr.,759611
Eric Carle,759611
Dan Simmons,77566
John Steinbeck,5308
William Peter Blatty,179780
Stephenie Meyer,7937462
David Guterson,77142
Alex Haley,546018
Alan Moore,96358
Brian Bolland,96358
Tim Sale,96358
Ralph Ellison,16981
Ishmael Beah,43015
Robert C. O'Brien,9822
Stephen King,39662
Laura Ingalls Wilder,114345
Garth Williams,114345
Melissa Bank,33926
Hugh Howey,13453029
Christopher Moore,28881
Eckhart Tolle,6708
Jenny  Lawson,12868761
Scott Lynch,127455
Garth Nix,518848
Charlaine Harris,5161066
Jodi Picoult,15753740
Jennifer L. Armentrout,12578077
Douglas Adams,8694
Sarah J. Maas,17167166
Bryan Lee O'Malley,29800
Jeannette Walls,6366437
Terry Pratchett,386372
Julie Kagawa,6644117
Larry McMurtry,256008
Mary Roach,32145
Richelle Mead,8709527
Orson Scott Card,9532
Sophie Kinsella,6063187
Thomas Keneally,375013
Toni Morrison,11337
Philippa Gregory,5971165
Malcolm X,92057
Alex Haley,92057
Neil Gaiman,23754
Sam Kieth,23754
Mike Dringenberg,23754
Malcolm Jones III,23754
Todd Klein,23754
Karen  Berger,23754
Laura Hillenbrand,110737
Dennis Lehane,21686
Arthur Conan Doyle,188572
William Shakespeare,13006
Roma Gill,13006
Erik Larson,9938498
Plato,30289
Desmond Lee,30289
William Shakespeare,47021
Marissa Meyer,13206828
Patti Smith,341879
Phaidon Press,567616
Jane Green,227941
Victor Hugo,30597
Walter J. Cobb,30597
Rohinton Mistry,5211
Bill Watterson,77727
G.B. Trudeau,77727
Scott Westerfeld,24765
Kate Chopin,58345
P.C. Cast,4134071
Kristin Cast,4134071
Mitch Albom,10929
Tom Clancy,32669
Shel Silverstein,30120
Justin Halpern,7821447
Irvine Welsh,23955
Eric Lindor Fall,23955
Isaac Asimov,29581
Miguel Ruiz,6596
Jodi Picoult,6614960
Jacob Grimm,22917
Wilhelm Grimm,22917
Josef Scharl,22917
Padraic Colum,22917
Joseph Campbell,22917
Margaret Raine Hunt,22917
James Stern,22917
E.L. Konigsburg,3980
Stephen King,16130549
Nick Hornby,4271
Samantha Young,15760001
Francis Chan,3206011
Danae Yankoski,3206011
Chris Tomlin,3206011
Dr. Seuss,7770
Dean Koontz,32423
Helen Keller,821611
Jonathan Tropper,6224935
Seth Grahame-Smith,7108001
Natsuki Takaya,271199
Alethea Nibley,271199
Athena Nibley,271199
William Shakespeare,12985
P.C. Cast,6917952
Kristin Cast,6917952
Stephen King,5096
Dave McKean,5096
Dave Eggers,18302455
Brian Selznick,9673436
Aldous Huxley,5479
Christopher Hitchens,5479
Bisco Hatori,1087204
Mary Kubica,18812405
Abbi Glines,16070903
Rainbow Rowell,18081809
P.C. Cast,6262365
Kristin Cast,6262365
Cormac McCarthy,12497
Hilary Mantel,6101138
Diana Wynne Jones,6294
Stephen King,11570
William Olivier Desmond,11570
Henry David Thoreau,16902
Kazuo Ishiguro,28921
Nicholas Sparks,10766509
Julian Barnes,10746542
Sue Grafton,64863
Sophocles,1554
J.E. Thomas,1554
Lisa See,5960325
Kenneth Grahame,5659
Gillian Avery,5659
Jenny Han,15749186
Marjane Satrapi,9516
Mattias Ripa,9516
E.M. Forster,3087
Kody Keplinger,6931356
Sarah Dessen,1295102
J.D. Robb,268602
John Grisham,5355
Stephenie Meyer,4502877
Masashi Kishimoto,204042
Katy Bridges,204042
Rachel Joyce,13227454
David Levithan,13262783
Orson Scott Card,8648
William Shakespeare,24128
Robert          Jackson,24128
Barbara A. Mowat,24128
Paul Werstine,24128
James Clavell,402093
J.R. Ward,42900
Sarah J. Maas,16096824
E.L. James,13584236
Bill Martin Jr.,293595
John Archambault,293595
Lois Ehlert,293595
Raina Telgemeier,6393631
George Orwell,5472
Christopher Hitchens,5472
Jacquelyn Mitchard,5161
Amy Tan,12555
Louise Rennison,402013
Robin Sloan,13538873
V.C. Andrews,43448
Paul Kalanithi,25899336
Abraham Verghese,25899336
Jerry Spinelli,139463
Chuck Palahniuk,22290
William Shakespeare,1625
Lois Lowry,12936
Ellen Raskin,902
Pierce Brown,15839976
Brent Weeks,3227063
Barbara Kingsolver,30868
Jamie McGuire,15745950
Brandon Sanderson,17332218
Sam McBratney,301736
Anita Jeram,301736
Diana Gabaldon,10967
Stephen King,10628
John D. MacDonald,10628
Peter Benchley,126232
Nicole Krauss,3867
Astrid Lindgren,19302
Lauren Child,19302
Florence Lamborn,19302
Nancy Seligsohn,19302
Muriel Barbery,2967752
Alison Anderson,2967752
Doris Kearns Goodwin,2199
Suzanne Toren,2199
Charlaine Harris,7091488
Albert Camus,11989
Stuart Gilbert,11989
Lemony Snicket,78418
Brett Helquist,78418
Susannah Cahalan,13547180
Melissa Marr,305234
H.A. Rey,420297
Michael Ende,27712
Ralph Manheim,27712
Roswitha Quadflieg,27712
Sylvia Nasar,13912
Upton Sinclair,41681
Earl Lee,41681
