Company_ID,Review_ID,date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt
C000017,R00019,4/1/2019, Finance Manager,"New York, NY",Former Employee ,Growth Opp,More than a year,0,great people- overall good work/life balance,NA,NA
C000017,R00020,4/3/2019, Director,"Houston, TX",Former Employee ,Really Happy!,More than 3 years,0,I enjoyed the people and the work. Benefits are great!,NA,Keep up the good work!
C000017,R00021,4/18/2019, Information Technology Manager,"Houston, TX",Former Employee ,"Was a good company when I joined, not anymore",More than 8 years,0,"Fair pay, good benefits. Most of the people were competent.",NA,"Same as many other reviewers have already said but no changes have happened, so apparently management doesn't read or act on these comments."
C000017,R00022,3/29/2019, Accounting Manager,"New York, NY",Former Employee ,Interesting,More than 10 years,0,Loved the job got to learn the insurance industry,NA,Create a stable working atmosphere
C000017,R00023,3/19/2019, Project Manager,"Houston, TX",Current Employee ,"Love the work, but ‘doing more with less’ year after year has begun to shift my loyalty away from AIG.",More than 8 years,0,"Super benefits, 401K with company match, health, life, ample amount of paid time off for employees with 5+ years, work remotely 1/2 the week, and I know I add value to the org every day.",NA,"Stop the unrealistic expectations with you. Tell your boss no once in a while. Tell the guy your entire team of 15 has no bandwidth for those 4 new projects. Do that, and you’ve saved your employees 5 more projects you don’t have to delegate and they don’t have to miss dinner for."
C000017,R00024,3/29/2019, IT Director,NA,Former Employee ,Overall Great Company,More than 10 years,0,"1) More serious now about cloud migration
2) Increased budget for transformation efforts
3) Healthcare benefits
4) 6% matching 401K
5) Vacation package
6) Great employees and consultants to work with",NA,NA
C000017,R00025,3/28/2019, Internal Wholesaler,"Woodland Hills, CA",Former Employee ,Excellent Experience,More than 5 years,0,Sales Desk Management is very supportive of your career aspirations,NA,Allow Internals more flexibility on market segmentation
C000017,R00026,3/27/2019,NA,NA,Current Employee ,Great company to work for.,More than 3 years,0,Amazing benefits. Great PTO offered.,NA,NA
C000017,R00027,3/24/2019,NA,"New York, NY",Current Employee ,Little Collaboration,More than a year,0,Work / life balance is managable,NA,NA
C000017,R00028,3/27/2019, Manager,"New York, NY",Current Employee ,Good place to work,More than a year,0,Generous PTO and salary and great people,No work life balance - work from home option depends varies by department,NA
C000017,R00029,3/27/2019,NA,"Olathe, KS",Former Employee ,Good company with great facilities,NA,0,Beautiful remodel with updated amenities. Very flexible.,Minimal training with remote supervision.,NA
C000017,R00030,4/8/2019, Senior Project Manager,"New York, NY",Former Employee ,Great people but bad management,More than 8 years,0,"I worked with one of the best group of colleagues and AIG. The culture is friendly and conducive for productive work. You enjoy working here.
Company pays well and had some great benefits. Performance bonuses are based on the team/ project that you’re connected with and not for individual efforts. So if you’re lucky to get great project then you’re recognized with great bonus.
Good CSR volunteering opportunities.",Constant changes in the management. Continuously firing of teams and scrapping of projects lead to low morals and stressful environment. Lack of stability and no raise for years. No career advancement.,Retain good talent. The company really have great people with valuable knowledge and experience. Think twice before cutting down the veterans and hiring new people.
C0000156,R00031,7/28/2017, Private Fixed Income,NA,Former Employee ,Private Fixed Income,NA,0,Great culture and work environment,investments are cut and dry in terms of deal flow and analysis,NA
C0000156,R00032,3/27/2019, Customer Service Representative,"Des Moines, IA",Former Employee ,Not great,More than 3 years,0,There was a lot of young people,have to live in Iowa,NA
C0000156,R00033,10/9/2017,NA,NA,Former Employee ,Associate,More than a year,0,Nice work environment; good culture.,"Like any job, long hours.",NA
C0000156,R00034,5/3/2017, Business Analyst,"West Des Moines, IA",Former Employee ,Great margins and future,More than 8 years,0,Great corporate direction and earnings,Globally limited by EU regulations,NA
C0000156,R00035,4/30/2017, Manager,"West Des Moines, IA",Former Employee ,Manager,More than a year,0,"Innovative work environment, good employee engagement practices, competitive wages","Financial services industry is not terribly compassionate -- Aviva selected one family each year to whom to extend corporate compassion, but largely see people as accounts",Stay focused on producing financial results
C0000156,R00036,12/7/2016,NA,NA,Former Employee ,Review,NA,0,The colleagues are pretty great,Management does not seem to know what they are doing.,NA
C0000156,R00037,9/27/2016, Insurance Underwriter,"West Des Moines, IA",Former Employee ,Great company to work for,More than 5 years,0,A great company to work for. My work was appreciated by upper management and my co-workers were very great people to work with.,Usual politics but the benefits and perks outweigh these.,NA
C0000156,R00038,9/22/2016, Analyst,"Quincy, MA",Former Employee ,Analyst,More than 8 years,0,Autonomy. Ability to work with various technologies. Education and development opportunities widely available. Good atmosphere with co-workers. Fair severance.,"Like anywhere there are tough times and emergencies. Just do your best to manage through them. Like anywhere, directives can come from the top that adversely impact you regardless of personal performance.","Obviously the merger was a big change. In retrospect, it does not look like it was a wise decision by senior management. However, that probably should have been seen on the front end."
C0000156,R00039,8/23/2016,NA,NA,Former Employee ,Athene destroyed this perfectly good company,NA,0,Culture and environment were committed to greatness,Athene purchased and dumped outstanding talent,All companies are run by people and you forgot that when $$$ over people
C0000156,R00040,7/15/2016,NA,NA,Current Employee ,good,NA,0,"friendly staff, cares for employees",can't think of any now,NA
C0000156,R00041,3/1/2016,NA,NA,Former Employee ,Program Manager,NA,0,Great place to work.great people,cannot think of any..its a great co,NA
C0000156,R00042,1/13/2016,NA,NA,Current Employee ,PMO Manager,NA,0,"Great ethics, work life balance, flexibility. Great career opportunities. Highly professional and skilled work base.","You have to fight for your own career, there is no career mentorship.",NA
C0000156,R00043,12/11/2015, Senior Compliance Associate,"Chicago, IL",Current Employee ,Disorganization from London,More than a year,0,Regional CEO (former) had good vision and insight,Constant change of direction from UK management,NA
C0000156,R00044,10/31/2015,NA,NA,Former Employee ,Strategic Changes: One Too Many,NA,0,The work environment in the Des Moines office was very productive and supportive; not sure how things changed after the company was bought by Athene.,"Aviva Investors made too many strategic changes every year -- driven by the head office in London. Hopefully, this is no longer a nagging issue.",Do not interfere too much at every step. There is no need for strategic changes every year. Perhaps a strategic change should be done no more frequently than every 5 years.
C0000156,R00045,9/9/2015,NA,NA,Former Employee ,"Progressive, smart company",NA,0,"Very talented staff, willing to invest in all aspects of the business, very customer focused","Big and complicated, fair amount of bureaucracy",NA
C0000156,R00046,9/3/2015,NA,NA,Former Employee ,Compliance,NA,0,There was room for advancement depending on the location you were at.,Takeover and acquisitions made working there stressful.,"Make sure to include everyone, even people who work remotely, in all meetings and discussions."
C0000156,R00047,8/5/2015,NA,NA,Former Employee ,Software developer,NA,0,"Good, friendly, good office, work life balance",didnt pay much and projects are not too excited,NA
C0000156,R00048,6/17/2015, Manager,"Des Moines, IA",Former Employee ,Salary,NA,0,The salary was good for the area and competitive within is localized market. Raises were often modest and bonuses were decent.,The company was going through some growing pains which meant budget cuts in certain areas and left you uncertain about future salary growth.,Employees can't live with ambiguity for very long. Being clear on the direction of the firm early on is usually much appreciated.
C0000156,R00049,4/15/2015,NA,"New York, NY",Current Employee ,Bus Analyst,More than 3 years,0,decent place to work for,not a great career path,NA
C0000156,R00050,4/2/2015,NA,NA,Former Employee ,Good compensation but not very stable,NA,0,Good compensation and benefits package.,Company was sold and a lot of positions were eliminated.,NA
C0000156,R00051,11/13/2014,NA,NA,Current Employee ,Company Sold to Athene/Global Atlantic,NA,0,"Awesome CEO, nice building, on-site cafeteria and gym",Business was sold and job was eliminated,NA
C0000156,R00052,9/23/2014, Investment Risk Analyst,"Chicago, IL",Former Employee ,"I was able to work with a lot of really good people, and enjoyed my time there immensely.",More than a year,0,"They have a great time-off policy, as well as a great CEO and leadership structure. Everyone works together and it is not a cut throat environment.","The company is in a large period of change, and job roles and leadership have been changing recently. This isn't necessarily bad, but it is different.",Keep up the good work.
C0000156,R00053,4/18/2014, Applications Developer III,"West Des Moines, IA",Former Employee ,Aviva USA was sold to Athene in October 2013,More than a year,0,Aviva USA was a good company.,After Aviva USA was acquired by Athene my position and hundreds of others were eliminated due to restructuring and outsourcing.,NA
C0000156,R00054,12/14/2013, Credit Analyst,"Des Moines, IA",Former Employee ,Mediocre investment group and highly political,More than a year,0,Paid well to attract talent to Des Moines,The overall talent was way below average,Focus on performance vs. demonstrativeness
C0000156,R00055,11/10/2013,NA,NA,Former Employee ,Scizophrenic insurance carrier in Des Moines,More than 5 years,0,great people and freindly atmosphere,directionally challenged and under-experienced management,experience will help a lot
C0000156,R00056,10/25/2013, QA Lead and Backend Tester,"Des Moines, IA",Current Employee ,Fulfilling with a lot of opportunities for growth.,More than 5 years,0,Always allowing you to learn new skills and respect your opinions.,Aviva sold out to Athene so the last year was stressful.,Always be open and honest with your employees. It goes a long way in building trust.
C0000156,R00057,9/24/2013, Confidential,"Topeka, KS",Former Employee ,IT Software Project Manager for Annuity business,More than a year,0,"Very skilled and knowledgeable software staff. Company supported work/life balance. Great location in downtown Topeka, KS",Frequently being sold. Also plays favorites with employees.,Convert skilled consultant staff when you've promised to do so.
C0000156,R00058,4/25/2013,NA,NA,Current Employee ,Aviva is a great place to work,More than 5 years,0,"Great benefits
Great leadership
Great products
Competitve pay",Changes in management and structure with announced sale.,NA
C0000156,R00059,5/7/2013,NA,NA,Former Employee ,Product Assistant,More than a year,0,Great team and work life balanace,Limited avenue for growth and exposure,NA
C0000156,R00060,2/22/2013, Actuary,"West Des Moines, IA",Former Employee ,"Good Experience, Changing Vision",More than 3 years,0,Lots of good experience at this employer,Changing vision of the company caused layoffs,Clear vision
C00001,R00061,4/16/2019, Administrative Officer,NA,Former Employee ,Great experience!,NA,0,Friendly and professional environment. Great entry level experience for finance.,Work can be a little repetitive and daunting at times.,NA
C00001,R00062,4/18/2019, Regional Sales Associate,NA,Current Employee ,Good place to work,NA,0,Get good experience in the retirement industry.,Difficult to advance career. Get the experience then Jump ship for more $$$$,NA
C00001,R00063,4/8/2019,NA,NA,Former Employee ,Not bad!,NA,0,"Friendly Co-workers
Growth in the company",Typical finance job with rude management,NA
C00001,R00064,3/18/2019, Advisor,NA,Current Employee ,Excellent,NA,0,Great Environment to work in,I have nothing bad to say,NA
C00001,R00065,4/5/2019, Financial Services Representative,"Orlando, FL",Former Employee ,Pay system is aweful,Less than a year,0,"Employees are friendly, Good location",Pay is sporadic depending on when tje first falls you'll expeeience pay delays. If there are five weeks in the month you'll experience pay delays. You won't receive your final pay. They will claim they pay you ahead so they don't owe a final check.,Get new managememt
C00001,R00066,2/28/2019,NA,NA,Former Employee ,Asset Mgmt intern good,NA,0,good managers and good people all around,salary too low and the internship period was too short,NA
C00001,R00067,3/13/2019, Agent,NA,Former Employee ,Good Experience,NA,0,It was good to learn about the insurance industry,You had to work very long hours.,NA
C00001,R00068,2/11/2019, Financial Professional,NA,Former Employee ,Okay place to work,NA,0,Opportunity if just starting in financial services profession.,"Hard to make ends meet, small salary, with Commission.",NA
C00001,R00069,2/8/2019,NA,NA,Current Employee ,Customer service advisor,NA,0,"The people (not the managers)
Overtime rates","The hours
3 weeks holiday
Shift work
The managers",NA
C00001,R00070,2/7/2019, Director,"New York, NY",Former Employee ,Politics,More than 3 years,0,remote work is very nice,politics is rampant throughout org,NA
C00001,R00071,1/21/2019,NA,"Austin, TX",Former Employee ,"Good Experience, not so good work life balnce",NA,0,opportunity for promising career in the future,very difficult to start unless you are very well connected,NA
C00001,R00072,12/31/2018,NA,NA,Current Employee ,IT Manager,NA,0,professional environment with smart reliable people,large company - slow to move,NA
C00001,R00073,1/14/2019,NA,NA,Current Employee ,Good International Company with Great Global mobility,NA,0,Good International Company with Great Global mobility and great benefits,"Poor work-environment, not team-work activities, a lot of senior people. Company should hire more young people.",NA
C00001,R00074,12/14/2018,NA,NA,Current Employee ,Financial Profesional,NA,0,"Great work environment, good benefits.",There are Limited options for growth.,NA
C00001,R00075,1/17/2019, Operations,"Chicago, IL",Former Employee ,Very high turnovers for a reason,More than a year,0,Schedules could be flexible if one is not on the phones,Management are there because they outlast others not because of their merits. A very chaotic place with very poor communications.,Listen to your employees.
C00001,R00076,12/22/2018,NA,"Charlotte, NC",Current Employee ,Senior Manager,More than a year,0,They have Great Pay and Benefits,They have a Poor Training model,Focus on the training model for new hires
C00001,R00077,11/21/2018, Financial Advisor,"Pittsburgh, PA",Current Employee ,Financial advisor,NA,0,"Great people,good training , diverse culture","Paying rent, paying for large portion of benefits",None
C00001,R00078,11/20/2018,NA,NA,Current Employee ,CSR,NA,0,PTO and Vacation were very nice,May be on the phone the entire duration of the shift,NA
C00001,R00079,11/14/2018,NA,NA,Current Employee ,Financial Consultant,NA,0,"Great resources, open architecture platform, and management to help as you get started",Can take a while to get traction,NA
C00001,R00080,11/12/2018,NA,"New York, NY",Former Employee ,Great employer,More than a year,0,"Large organisation, so lots of opportunity to meet different people and do a variety of jobs.",Slow to move with organisational change.,NA
C00001,R00081,11/11/2018,NA,NA,Current Employee ,DM,NA,0,Flexible schedule and growth opportunities,small salary for the amount of work,NA
C00001,R00082,11/29/2018,NA,NA,Current Employee ,Leave when you can,NA,0,"Create your own schedule, good place to start",Don't work here for long,NA
C00001,R00083,11/6/2018,NA,NA,Current Employee ,Great benefits weak management,NA,0,Good pay and benefits. I liked things like tuition reimbursement and paid maternity leave.,There’s definitely a “kiss up/ it’s not what you know it’s who you know” environment in the Life Operations Inforce area.,"Get to know your employees, nurture them. Don't be afraid of change and innovation."
C00001,R00084,10/22/2018,NA,NA,Current Employee ,Work for your opportunities,More than 8 years,0,"Tuition reimbursement, work life balance, career advancement opportunities, friendly environment, diverse atmosphere.","Hiring externally for certain roles, pay can be more competitive, technology is a bit outdated",NA
C00001,R00085,10/17/2018, Futures Associate,"Bala Cynwyd, PA",Current Employee ,Future Advisors Program,Less than a year,0,Great work culture and sales training program,People with poor time management skills will not succeed,Take more time with interns
C00001,R00086,10/15/2018,NA,NA,Current Employee ,Financial Professional,NA,0,"Make your own schedule
Management empowers employees - they want you to be successful
Comprehensive weekly training",Hard to start out of college without having a healthy savings account,NA
C00001,R00087,10/20/2018,NA,NA,Current Employee ,Business manager,NA,0,"Average salaries and benefits, flex time, home office, great parental leaves","No meal plans, no dental or vision, difficult management, lot of turnover",NA
C00001,R00088,9/21/2018, Service,"Charlotte, NC",Former Employee ,Employee,More than a year,0,Great place to work for. Awesome,There are no down sides to this company,NA
C00001,R00089,9/16/2018,NA,NA,Former Employee ,Okay company,NA,0,"Nice people, easy to get along with",Low starting salary and you have to work really hard to get ahead,NA
C00001,R00090,9/17/2018,NA,NA,Former Employee ,financial professional,NA,0,complete freedom in how i grow my biz,no leads were given to me,NA
C000023,R00091,3/23/2018, Treasury Analyst,"Charlotte, NC",Former Employee ,Treasury Analyst,More than 10 years,0,Large Corporation with a lot of opportunity for professional growth,It is a very bureaucratic organizational structure,NA
C000023,R00092,4/18/2019, Client Service Representative,NA,Former Employee ,If it was not for my immediate team at my specific branch It could of been a lot worse.,Less than a year,0,Great Co - Workers and pretty good benefits,"No help from Corporate, even when we would reach out. They are seriously lacking leadership and consistency from the top. Not a lot of room to grow.","Review those individuals in higher positions, a lot of them lack the abilities you would expect from positions such as regional managers"
C000023,R00093,4/18/2019,NA,NA,Current Employee ,Review,NA,0,Work Culture ; Ability to grow,No major cons that I can report,NA
C000023,R00094,4/18/2019, Client Service Representative,"Dallas, TX",Current Employee ,Client service Representative,Less than a year,0,"Bank of America is an amazing company that offers amazing benefits, tuition reimbursement, employee discounts, and much more! In addition, Bank of America, is one of the highest paying banks.
Bank of America really cares about its employees. The morale was great and I loved my team!","I wasn’t a fan of customer service. This was my first customer service job, so I really struggled with this position. I had a 10 hour shift and I took back to back calls for the whole shift(I’m not exaggerating. Management monitored our phone time and would IM us if our phone line was unavailable.) We got two 15 minute breaks and an hour lunch break. It was a very stressful work environment; I took a lot of escalated calls and I felt like a therapist half of the time. I eventually got burned out and quit the job.","My managers were great! The only thing I would suggest is that Bank of America, needs to find new ways to lower the high call volume in the call centers. Customer service is a stressful job on its own, but when require your employees to take back to back phone calls for 8-10 hours, it can cause employees to feel stressed, burned out, and overwhelmed.
Many of my coworkers had panic attacks and mental breakdowns because of the job. My coworkers worked in customer service for 4+ years, and have never experienced so much stress."
C000023,R00095,4/17/2019,NA,NA,Former Employee ,One of the best companies I have worked for,More than 10 years,0,"Great benefits, core values, sense of workplace community, raises","Not much room for advancement most times, communication errors with management",NA
C000023,R00096,4/16/2019," A V P, Relationship Trust Officer","Chicago, IL",Former Employee ,Review for Bank of America,NA,0,Great place to mentor and network.,"It really depends on the type of manager you have, because it will hinder when you try to apply internally.",NA
C000023,R00097,4/16/2019, Senior Business Analyst,"Los Angeles, CA",Former Employee ,One of the best firms to work for,More than 10 years,0,Amazing benefits and opportunities to develop yourself personally. Very progressive leader in workplace equality initiatives and proponent of inclusive practices.,"Professional advancement is difficult unless you are based on the East Coast, particularly in Charlotte. Not as much flexibility to work remotely or away from main operations centers.",More needs to be done to retain top talent at the firm. Recruiting efforts seemed to be largely focused externally.
C000023,R00098,4/15/2019, Operations Analyst,NA,Current Employee ,Great place to work,More than 3 years,0,Great benefits and a great place to work,If you work in the downtown building you have to pay for your own parking,NA
C000023,R00099,4/14/2019, Investment Banking Analyst,"San Francisco, CA",Current Employee ,Investment Banking Analyst Review,NA,0,"Great experience, pleasant people, good salary. Excellent dealflow","Long hours, not the best work/life balance",Better work / life balance would be great for analyst retention
C000023,R00100,4/15/2019, Project Manager,"Charlotte, NC",Current Employee ,Good company to work for,More than 8 years,0,Good company to work for,"Big company, lot of politics",Keep going
C000023,R00101,4/14/2019, Merchant Services,"Rainier Beach, WA",Former Employee ,LOVE IT,More than a year,0,"great 401, very respectful reviews on performance, many opportunities to advance",Breaks on Saturday can be hard,NA
C000023,R00102,4/14/2019," Vice President, Senior Technology Manager",NA,Current Employee ,Management,More than 8 years,0,Great environment with great visionary leaders,Can be perceived as stressful,NA
C000023,R00103,4/12/2019, Investment Banking Analyst,"New York, NY",Former Employee ,Happy Banker,More than a year,0,"Great culture within the LevFin group. Solid work-life balance and tight-knit social network. Mindful of diversity. People are supportive of your career development and it's a large, great network.",Can be bureaucratic and risk-averse as a large bank.,NA
C000023,R00104,4/12/2019, Relationship Manager,"Los Angeles, CA",Current Employee ,Overall Good Company,Less than a year,0,"Good benefits, good training, good work life balance",Almost always work overtime and Saturdays but you get paid for it,Be honest to new hires about working most Saturdays
C000023,R00105,4/12/2019, Financial Advisor,"Atlanta, GA",Current Employee ,Great company with great benefits,More than a year,0,Always looking to promote and ensure you feel included. Great opportunities for those looking to get in another role.,"Depending on your role, you hours can be long but as an Advisor you are what you put into the business.",NA
C000023,R00106,4/12/2019, Investment Consultant,NA,Former Employee ,Great!,NA,0,"Great growth opportunities, good bonus structure, great benefits","Expect to grind a lot to meet the goals, grid payouts changed quarterly",Focus on growing your team and helping them
C000023,R00107,4/11/2019, Business Control Specialist,"Waltham, MA",Current Employee ,Good place to work,More than 10 years,0,"Good benefits, telecommute possible, 401k match",Training on new systems usually high level overview and not job specific.,Process changes made by individuals who haven't done the job can be frustrating. Input from seasoned employee would go along way.
C000023,R00108,4/11/2019, Customer Segment Manager,"Charlotte, NC",Former Employee ,Excellent Company; Leadership Development Needed,More than 10 years,0,"Prioritizes customers in business strategies, focused on associate satisfaction (compensation, benefits, professional development), great strides to overcome reputation stemming from financial crisis.","Senior managers and executives desperately need mindful leadership training to develop interpersonal skills and compassion towards associates + ability to make simple, timely decisions.","Invest as much time/resources in mindful leadership training as other internal associate engagement improvements; Create a consistent, enterprise-wide culture of client care via Chief Customer Officer organization, instead of silo'd / fragmented at the line of business level."
C000023,R00109,4/11/2019, Teller,"Lake Forest, CA",Former Employee ,"Good job, ok pay",More than a year,0,"Good hours- weekends off or half days Saturday
Good benefits","Dealing with angry customers
No commission but sales driven",Offer more incentives to tellers to get people to open accounts
C000023,R00110,4/11/2019, Assistant Vice President,"Plano, TX",Former Employee ,Good,More than a year,0,Very good environment to work,Not flexible with work from home option,NA
C000023,R00111,4/11/2019,NA,"Plano, TX",Former Employee ,AVP,More than a year,0,Work life balance can be maintained,No work from home policy,NA
C000023,R00112,4/12/2019, Investment Specialist,NA,Former Employee ,Average workplace,More than a year,0,They have many roles across the whole company,You’re just another person at a company.,NA
C000023,R00113,4/10/2019, Systems Analyst,"New York, NY",Current Employee ,System Analyst,More than 3 years,0,"Great culture, great Team, salary is good",Work like balance can be improved. Growth can be difficult.,NA
C000023,R00114,4/11/2019, Client Service Representative,"Chicago, IL",Former Employee ,Loved the atmosphere,Less than a year,0,It is very family oriented,Takes a while for promotions,NA
C000023,R00115,4/11/2019, PMO,"Chicago, IL",Current Employee ,Excellent workplace,More than 3 years,0,"Teams in commercial side of the business is excellent . They press hard on pay for performance and they are flexible if u have need to stay and work from home a day or two . Keep in mind there is a reason why they have buildings and offices so team
Can collaborate and work together",Like any organization there is some politic and managers differ from one to another . Not all managers are same,Lisen to employee and take action . Even tho are is something call 360 review and other platform I feel no one is actually reading what employee are writing there
C000023,R00116,4/11/2019, Customer Service Representative,NA,Current Employee ,Great Job,NA,0,"great place to work, good pay, great managers",have to push sales which can be frustrating,NA
C000023,R00117,4/10/2019,NA,NA,Former Employee ,Overal Good,More than 8 years,0,"Strong benefits - health, leave, vacation",Too many organizational changes every year,NA
C000023,R00118,4/11/2019, Relationship Manager,"Brooklyn, NY",Current Employee ,Great Employees,More than 10 years,0,employees help one another achieve goals and encourage one another,when you are in one position too long moving up is difficult,make transferring to another state in same job role easier
C000023,R00119,4/11/2019, Senior Recruiting Manager,"Charlotte, NC",Current Employee ,Good company,More than 10 years,0,Great processes and strong leadership!,Sometimes process can get in way of progress.,NA
C0000135,R00120,10/20/2017,NA,NA,Former Employee ,Nice place to work,NA,0,"Everyone I worked with as a remote closer was very nice, helpful and welcoming.","Sometimes email responses were slow, but that was because of volume.",NA
C0000135,R00121,5/2/2017,NA,NA,Former Employee ,Overall great place to work,NA,0,Great place to work amongst fantastic colleagues who are willing to share knowledge / experience,Pay is lower than if worked in private industry,NA
C0000135,R00122,3/23/2017,NA,NA,Former Employee ,Great people that care!,NA,0,Friendly and fun work environment. The Loan Officer I worked for genuinely CARES about his clients and their best interests (remember not all Loan Officers are created equal). Decent pay (role depending).,"Located in DTC (which was a far commute for me). If you aren't looking for a career in the mortgage world, their is not much crossover for other employment opportunities. Prepare to be glued to your phone/email.",NA
C0000135,R00123,1/10/2017,NA,NA,Current Employee ,Loan processor,NA,0,Excellent potential to earn money,It is good working for Bank of England job require,None
C0000135,R00124,8/18/2016, Senior Loan Officer,"England, AR",Former Employee ,Professional Management,More than a year,0,"Self- Starter ,experienced problem solver, charismatic, hard worker , reliable, get it done !","not always tradition in approach , willing use discretion in allowed by management , sometimes people jealous even when decisions are allowed and if employees seem to view you as go to person because you have taken the initiative to help solve customer issues with good results","make sure you know what the issues and concerns are. Then use company guideline in the procedures to resolve issue, when appreciate involve immediate management"
C0000135,R00125,2/9/2016,NA,NA,Current Employee ,Processing Assistant,NA,0,"Free spirited, clean office, team members are very nice and overall ok to work for for beginners but you must be self sufficient.","Very unorganized, low in pay, no training, high exceptions low pay, too many family members working under one roof.",NA
C0000135,R00126,11/17/2014, Credit Manager,NA,Current Employee ,Enjoyable,More than a year,0,Very enjoyable culture and management. Younger crowd working there but very informational and smart. Had a nice time with this company.,"Long hours, generating your own leads. Often times required to network outside of standard business hours and company time. Long work weeks ensue.",NA
C0000135,R00127,4/8/2019, PMO Analyst,"London, England (UK)",Former Employee ,great place to work,More than a year,0,"work life balance, friendly culture, professionalism is great. lots of opportunities to invest in yourself and receive training.",Can be very bureaucratic at times. E.g. meetings have piles of papers and agendas which are not summarised.,NA
C0000135,R00128,4/13/2019,NA,NA,Current Employee ,Analyst,NA,0,Interesting and stimulating work in some areas. Opportunity to engage and present externally and at a senior level. Good training opportunities available for some staff and generally good/flexible work life balance,Poor Finance/HR department: progressive erosion of employee benefits and real term pay cuts over last 10 years. Budget freezes leading to fewer opportunities for progression and training.,"Budgets and pay scales should increase in line with inflation by default. More should be done to even total pay between final salary pension staff and new staff.
Hotdesking doesn't work and wastes time - it doesn't promote agility."
